"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Tommy Pham","SDP","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","2967"
"Wilmer Flores","SFG","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","5827"
"Wil Myers","SDP","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","10047"
"Byron Buxton","MIN","1","5","5","5","2","2","0","1","2","1","0","0","0","0","0","0","0","1","0","1.000","14161"
"Jake Bauers","CLE","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","15194"
"Aledmys Diaz","HOU","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1.000","15937"
"Myles Straw","HOU","1","2","4","2","2","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1.000","17620"
"Matt Beaty","LAD","1","1","1","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","1.000","17710"
"Jake Cronenworth","SDP","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1.000","18036"
"Nick Senzel","CIN","1","4","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1.000","19293"
"Sean Murphy","OAK","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","19352"
"Keston Hiura","MIL","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","20003"
"Freddie Freeman","ATL","1","5","5","4","2","1","0","1","2","3","0","0","1","0","0","0","0","0","0",".800","5361"
"Trea Turner","WSN","1","5","5","4","3","1","0","0","2","0","0","0","1","0","0","0","0","0","0",".800","16252"
"Austin Riley","ATL","1","5","5","4","2","1","0","1","2","2","0","0","0","0","0","0","0","0","0",".800","18360"
"Mike Tauchman","SFG","1","4","4","3","3","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".750","15274"
"Tyler O'Neill","STL","1","4","4","3","2","0","0","1","1","2","0","0","0","0","0","0","1","1","0",".750","15711"
"Guillermo Heredia","ATL","1","4","5","3","2","1","0","0","0","1","1","0","0","0","0","0","0","0","0",".750","18721"
"David Peralta","ARI","1","3","4","2","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0",".667","2136"
"A.J. Pollock","LAD","1","3","4","2","2","0","0","0","1","1","1","0","1","0","0","0","0","1","0",".667","9256"
"Mike Zunino","TBR","1","3","3","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".667","13265"
"Luis Urias","MIL","1","3","3","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".667","16622"
"Chad Wallach","MIA","1","3","4","2","2","0","0","0","0","1","0","0","1","1","0","0","0","0","0",".667","17161"
"Rafael Devers","BOS","1","3","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".667","17350"
"Nick Solak","TEX","1","3","4","2","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0",".667","19294"
"Nate Lowe","TEX","1","3","4","2","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0",".667","19566"
"Ryan Zimmerman","WSN","1","5","5","3","3","0","0","0","0","2","0","0","1","0","0","0","0","0","0",".600","4220"
"Giancarlo Stanton","NYY","1","5","5","3","3","0","0","0","2","0","0","0","1","0","0","0","1","0","0",".600","4949"
"Salvador Perez","KCR","1","5","5","3","2","1","0","0","1","1","0","0","2","0","0","0","0","0","0",".600","7304"
"Jorge Soler","KCR","1","5","5","3","1","2","0","0","2","3","0","0","1","0","0","0","0","0","0",".600","14221"
"Ozzie Albies","ATL","1","5","5","3","1","1","0","1","2","1","0","0","1","0","0","0","0","0","0",".600","16556"
